# Pathway	CD11_S3_L008_paired_merged.assembled_Abundance	CD13_S9_L008_paired_merged.assembled_Abundance	CD15_S1_L008_paired_merged.assembled_Abundance	CD18_S19_L008_paired_merged.assembled_Abundance	CD21_S24_L008_paired_merged.assembled_Abundance	CD27_S29_L008_paired_merged.assembled_Abundance	CD34_S34_L008_paired_merged.assembled_Abundance	CD38_S39_L008_paired_merged.assembled_Abundance	CD44_S4_L008_paired_merged.assembled_Abundance	CD49_S10_L008_paired_merged.assembled_Abundance	CD4_S33_L008_paired_merged.assembled_Abundance	CD6_S38_L008_paired_merged.assembled_Abundance	PE04_S35_L008_paired_merged.assembled_Abundance	PE23_S40_L008_paired_merged.assembled_Abundance	PE25_S5_L008_paired_merged.assembled_Abundance	PE32_S11_L008_paired_merged.assembled_Abundance	PE36_S16_L008_paired_merged.assembled_Abundance	PE37_S21_L008_paired_merged.assembled_Abundance	PE48_S26_L008_paired_merged.assembled_Abundance	PE49_S31_L008_paired_merged.assembled_Abundance	PE52_S36_L008_paired_merged.assembled_Abundance	PE54_S41_L008_paired_merged.assembled_Abundance	PE57_S6_L008_paired_merged.assembled_Abundance	PE60_S12_L008_paired_merged.assembled_Abundance	R01_S17_L008_paired_merged.assembled_Abundance	R02_S22_L008_paired_merged.assembled_Abundance	R03_S27_L008_paired_merged.assembled_Abundance	R04_S32_L008_paired_merged.assembled_Abundance	R05_S37_L008_paired_merged.assembled_Abundance	R06_S42_L008_paired_merged.assembled_Abundance	R07_S7_L008_paired_merged.assembled_Abundance	R08_S13_L008_paired_merged.assembled_Abundance
HISDEG-PWY: L-histidine degradation I|g__Alistipes.s__Alistipes_shahii	0	0	0	3.22643e-06	0	0	0	0	0	0	0	0	2.08408e-06	0	2.38239e-06	7.37375e-06	2.70158e-06	0	0	0	0	0	0	0	0	6.3007e-06	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.19653e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|g__Butyricimonas.s__Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12964e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	1.72974e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.33928e-05	0	2.05254e-05	3.2459e-06	7.32103e-06	4.29259e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	0	9.55727e-06	4.72107e-06	0	3.03498e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36936e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|g__Vibrio.s__Vibrio_antiquarius	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67001e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISDEG-PWY: L-histidine degradation I|unclassified	8.80311e-05	4.44697e-05	3.61097e-05	4.21286e-05	5.78972e-05	9.21425e-05	0.000107824	5.65184e-05	5.31571e-05	2.88878e-05	6.02434e-05	8.09937e-05	3.17085e-05	6.46356e-05	3.4708e-05	6.30703e-05	2.89612e-05	4.42148e-05	3.49157e-05	6.94628e-05	5.15631e-05	5.81299e-05	6.46494e-05	8.89063e-05	8.75985e-05	7.81488e-05	7.60997e-05	5.92386e-05	4.50453e-05	6.39337e-05	7.79464e-05	0.000101673
HISTSYN-PWY: L-histidine biosynthesis	7.84377e-05	0.000117078	7.14577e-05	0.000122192	0.000122501	0.000110864	0.000161898	0.0001324	0.000114847	0.000124678	0.000123828	8.5384e-05	0.000145331	0.000143315	0.000142091	0.0001738	0.00015638	0.000159591	0.000103872	0.000128071	0.000128351	0.000123523	0.000114088	0.000146042	0.000108085	0.000147551	0.000122101	0.000101072	0.000106493	0.000137228	0.000124054	0.000130426
HISTSYN-PWY: L-histidine biosynthesis|g__Alistipes.s__Alistipes_indistinctus	0	0	0	0	4.73262e-06	0	0	0	0	0	0	0	0	0	0	7.58863e-06	0	8.53847e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Alistipes.s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90878e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00814e-06	0	0	0	0	0	0	0	0	0	0	0	4.69865e-06	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Butyricimonas.s__Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.27472e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Eggerthella.s__Eggerthella_lenta	0	0	0	0	0	0	0	7.53569e-06	7.30827e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.70782e-05	0	2.0661e-05	5.47833e-06	5.50306e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76586e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	8.80511e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|g__Vibrio.s__Vibrio_antiquarius	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41929e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HISTSYN-PWY: L-histidine biosynthesis|unclassified	7.84377e-05	0.000113233	6.72373e-05	0.000112926	0.000110901	0.000103549	0.000157024	0.00011584	0.000105802	0.000119846	0.000105353	8.30304e-05	0.000109488	0.000109223	0.000109178	0.00013955	0.000123657	0.00014471	0.000103473	0.000127416	0.000123769	0.000122329	0.000112447	0.000143789	0.000107974	0.000127735	0.000120463	0.000101072	9.1818e-05	0.000132867	0.00010265	0.000130426
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0	0	0	0	0	0	0	0	0	0	1.11281e-05	3.4447e-06	5.53889e-06	1.1567e-05	0	0	3.35889e-06	6.48275e-06	0	0	0	0	0	5.11847e-06	0	0	0	0	0	0	0	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|g__Salmonella.s__Salmonella_enterica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48957e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I|unclassified	0	0	0	0	0	0	0	0	0	0	0	3.40604e-06	0	0	0	0	0	0	0	0	0	0	0	5.11847e-06	0	0	0	0	0	0	0	0
HSERMETANA-PWY: L-methionine biosynthesis III	7.47474e-05	6.67304e-05	7.00197e-05	5.56319e-05	9.14895e-05	5.74164e-05	3.75459e-05	4.96862e-05	5.57243e-05	8.43298e-05	8.34791e-05	9.74893e-05	7.47261e-05	8.43375e-05	0.00011157	9.53547e-05	8.71643e-05	0.000104476	7.65141e-05	7.14459e-05	7.31925e-05	6.49844e-05	6.69799e-05	0.000107875	6.80044e-05	6.7798e-05	6.95551e-05	6.62787e-05	6.76552e-05	4.81979e-05	7.70801e-05	3.52842e-05
HSERMETANA-PWY: L-methionine biosynthesis III|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.73482e-05	0	2.47507e-05	3.31843e-06	7.31446e-06	2.79305e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	0	7.50309e-06	3.28231e-06	0	2.73827e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	7.47474e-05	6.65848e-05	6.91942e-05	4.89194e-05	9.12215e-05	5.72093e-05	3.75459e-05	4.95098e-05	5.56487e-05	8.43298e-05	7.3403e-05	6.8255e-05	4.92959e-05	5.20986e-05	7.35303e-05	5.9509e-05	5.99026e-05	8.78175e-05	7.04142e-05	6.60366e-05	6.79597e-05	6.0751e-05	6.63461e-05	0.000107011	6.80044e-05	5.92946e-05	6.95551e-05	6.62787e-05	5.02301e-05	4.24919e-05	6.41684e-05	3.52842e-05
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.000407595	0.000374053	0.000268388	0.000381325	0.000453803	0.000374647	0.000404752	0.000422444	0.000463762	0.000390145	0.000317579	0.000340906	0.000250899	0.00028807	0.000248151	0.000294997	0.000241521	0.000277381	0.000328649	0.000413631	0.00032559	0.000299034	0.000291529	0.000347862	0.00036702	0.000387774	0.000430129	0.000351472	0.000322622	0.000370207	0.000301292	0.000442762
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09892e-06	0	0	0	0	0	0	0	0	0	0	0	5.2909e-06	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eggerthella.s__Eggerthella_lenta	0	0	0	5.43833e-06	8.34491e-06	8.84057e-06	0	6.56585e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Enterobacter.s__Enterobacter_cloacae_complex	0	0	0	0	0	0	0	0	0	0	1.59002e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	2.19734e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.6014e-05	0	2.32122e-05	5.38686e-06	7.25047e-06	4.45935e-06	0	0	0	0	0	3.02093e-06	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	0	8.32059e-06	4.76833e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68327e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Vibrio.s__Vibrio_antiquarius	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11866e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0.00040001	0.0003609	0.000264404	0.000372891	0.000438685	0.00036483	0.000397167	0.000414735	0.0004544	0.000388645	0.000288531	0.000335925	0.000220413	0.000239072	0.000212656	0.000271584	0.000196507	0.000260267	0.000309507	0.00040993	0.000315106	0.000299034	0.000283973	0.000340151	0.000363568	0.000373308	0.000429011	0.000351472	0.000309554	0.000366159	0.000279746	0.000442762
KETOGLUCONMET-PWY: ketogluconate metabolism	0	0	0	0	0	0	0	0	0	0	0	7.25649e-06	0	0	0	0	0	0	0	0	9.33505e-06	0	0	0	0	0	0	0	0	0	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism|g__Enterobacter.s__Enterobacter_cloacae_complex	0	0	0	0	0	0	0	0	0	0	0	4.05678e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I	0	1.7805e-06	0	0	8.24029e-07	4.28618e-06	0	0	5.55266e-06	1.35853e-05	0	4.40014e-06	2.87881e-06	2.25416e-05	1.04327e-05	1.05806e-05	2.73671e-06	7.22563e-06	1.27907e-06	5.90446e-06	7.82016e-06	4.96514e-06	3.82695e-05	2.0771e-05	9.83649e-07	3.21088e-06	1.0032e-05	7.88935e-07	8.05447e-06	7.03748e-06	1.32121e-05	1.03872e-05
LACTOSECAT-PWY: lactose and galactose degradation I|unclassified	0	1.7805e-06	0	0	8.24029e-07	4.28618e-06	0	0	5.55266e-06	1.35853e-05	0	4.40014e-06	2.77143e-06	2.25416e-05	1.04327e-05	1.05806e-05	2.71816e-06	6.28208e-06	1.27907e-06	5.90446e-06	7.82016e-06	4.96514e-06	3.82695e-05	1.65481e-05	9.83649e-07	3.21088e-06	1.0032e-05	7.88935e-07	8.05447e-06	7.03748e-06	1.32092e-05	1.03872e-05
LIPASYN-PWY: phospholipases	0	0	0	0	0	0	0	0	0	0	0	0	2.31037e-06	0	0	0	6.43581e-06	0	0	0	0	0	0	2.89542e-06	0	0	0	0	0	0	0	1.82755e-06
LIPASYN-PWY: phospholipases|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14942e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIPASYN-PWY: phospholipases|g__Klebsiella.s__Klebsiella_quasipneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11971e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIPASYN-PWY: phospholipases|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	2.31037e-06	0	0	0	4.16668e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIPASYN-PWY: phospholipases|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89542e-06	0	0	0	0	0	0	0	1.82755e-06
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	0	0	0	0	0	0	0	0	0	2.02818e-05	6.75659e-06	1.07225e-05	2.20482e-05	0	0	6.33348e-06	1.17697e-05	0	0	0	0	0	9.59813e-06	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|unclassified	0	0	0	0	0	0	0	0	0	0	0	6.71476e-06	0	0	0	0	0	0	0	0	0	0	0	9.5967e-06	0	0	0	0	0	0	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0	0	0	0	0	0	0	0	3.20782e-06	0	1.30769e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation|unclassified	0	0	0	0	0	0	0	0	0	0	1.30769e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	0	0	0	0	0	0	0	0	0	1.88736e-05	5.97602e-06	9.5228e-06	1.96926e-05	0	0	5.81811e-06	1.11438e-05	0	0	0	0	0	8.85477e-06	0	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis|unclassified	0	0	0	0	0	0	0	0	0	0	0	5.90561e-06	0	0	0	0	0	0	0	0	0	0	0	8.85338e-06	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	0	0	6.40251e-06	0	0	0	0	0	0	0	4.62465e-06	4.18394e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	1.33894e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0	0	0	0	0	0	0	0	0	0	6.44582e-06	0	2.03779e-05	3.70867e-05	1.34542e-05	4.68821e-06	1.41295e-05	0	0	0	6.45784e-06	0	4.095e-06	5.85144e-06	4.00106e-06	0	0	0	0	0	1.19859e-05	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37955e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)|unclassified	0	0	0	0	0	0	0	0	0	0	5.89218e-06	0	6.92225e-06	0	4.74079e-06	0	0	0	0	0	6.10802e-06	0	3.95775e-06	0	3.6467e-06	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.000201858	0.000193058	0.000128413	0.00018913	0.000224321	0.000210698	0.000270879	0.000228059	0.000229673	0.000175807	0.000200532	0.000186648	0.00015844	0.000222746	0.000175792	0.000222755	0.000155312	0.000182996	0.000163331	0.000198056	0.000167145	0.000164884	0.000215503	0.000242614	0.000210863	0.000238543	0.000241088	0.000198832	0.000189906	0.000223457	0.000200066	0.000246637
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Alistipes.s__Alistipes_indistinctus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.41769e-06	3.54922e-06	5.53579e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Butyricimonas.s__Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41045e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.31749e-05	0	2.40595e-05	3.72549e-06	7.3662e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99272e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	0.00019261	0.000187725	0.000125798	0.000178602	0.000208144	0.000200862	0.000264505	0.000217766	0.000217079	0.000172133	0.000175553	0.000180294	0.000130816	0.000194062	0.000138556	0.000185961	0.000119824	0.000166481	0.000155601	0.000195124	0.000162729	0.00016243	0.000211772	0.00023825	0.000209894	0.000222654	0.000240167	0.000198832	0.000171418	0.000220458	0.00018973	0.000246637
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	0.000282024	0.000249397	0.000172672	0.000270048	0.00027361	0.000294045	0.000290888	0.00028234	0.000259963	0.000409022	0.000252103	0.000278639	0.000193249	0.000317912	0.000206983	0.000262193	0.000181812	0.000222642	0.00028032	0.00034597	0.00028213	0.000280528	0.000296308	0.000289887	0.000292775	0.000267203	0.00031995	0.000370765	0.000330113	0.000308756	0.000268601	0.000333336
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.72651e-05	0	2.50119e-05	7.69222e-06	1.01668e-05	5.487e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34428e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified	0.000279559	0.000248473	0.000172672	0.000266546	0.000271858	0.000293324	0.000288736	0.000277925	0.000258293	0.000404173	0.000231551	0.000268482	0.000174984	0.000277357	0.000184091	0.000245243	0.000152974	0.000204761	0.00027111	0.000343035	0.000279725	0.000280528	0.000294673	0.000289017	0.000292775	0.000255473	0.000313487	0.000370765	0.000315156	0.000308756	0.000247269	0.000333336
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.000151724	0.000114786	6.23283e-05	0.000157624	0.000153195	0.000136116	0.0001313	0.00015563	0.000140355	0.000186035	0.000155888	0.000138979	0.00014647	0.000218591	0.000167621	0.000189129	0.000161033	0.000196593	0.000145718	0.000147284	0.000167769	0.000158639	0.000183452	0.000147446	0.000125941	0.000194489	0.000133042	0.000199464	0.000211275	0.000184324	0.000117983	0.000127286
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|unclassified	0.000151638	0.000103359	6.19099e-05	0.000137556	0.000124979	0.000135986	0.000131007	0.000154725	0.000127521	0.000152098	0.000134068	0.000136936	0.000136457	0.000172982	0.000149971	0.000161455	0.000139977	0.000186113	0.0001375	0.00014659	0.000161748	0.000157844	0.000180172	0.000147284	0.000125941	0.000173481	0.000122308	0.000199464	0.000186062	0.000184236	8.56952e-05	0.000127286
ORNDEG-PWY: superpathway of ornithine degradation	9.10469e-06	0	0	0	0	0	0	0	1.36292e-05	0	0	1.04721e-05	0	0	2.20312e-05	0	1.18097e-05	0	0	0	5.44116e-06	0	7.99642e-06	0	0	0	0	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation|unclassified	5.0163e-06	0	0	0	0	0	0	0	0	0	0	7.39369e-06	0	0	0	0	0	0	0	0	0	0	5.69362e-06	0	0	0	0	0	0	0	0	0
P101-PWY: ectoine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	2.70512e-05	0	0	0	0	0	0	0	0	8.27098e-06	0	0	0	0	0	0	0	0	0
P101-PWY: ectoine biosynthesis|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1135e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P101-PWY: ectoine biosynthesis|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.71099e-06	0	0	0	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	6.94592e-06	0	8.9808e-06	0	0	0	0	0	0	4.34536e-06	1.04477e-05	1.83485e-05	4.71615e-06	0	1.75253e-06	4.88237e-06	9.25405e-06	0	0	5.66722e-06	0	9.24189e-06	6.64413e-06	0	0	0	0	0	0	0	1.20788e-05	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|unclassified	6.94421e-06	0	0	0	0	0	0	0	0	4.29051e-06	0	0	0	0	0	0	0	0	0	0	0	9.22722e-06	0	0	0	0	0	0	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I	0	0	0	0	0	0	0	0	0	0	0	1.86229e-05	0	3.21008e-05	0	0	0	0	0	0	1.20621e-05	0	0	0	0	0	0	0	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	2.00434e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P108-PWY: pyruvate fermentation to propanoate I|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06676e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P161-PWY: acetylene degradation (anaerobic)	0	0	0	0	1.01338e-05	0	1.19529e-05	0	0	0	1.98862e-05	1.36216e-05	2.46676e-05	1.34189e-05	2.3812e-05	2.51526e-05	2.07723e-05	2.62038e-05	0	0	0	1.35317e-05	1.40604e-05	0	7.27266e-06	2.35619e-05	0	1.5883e-05	7.52445e-06	0	0	5.00345e-06
P161-PWY: acetylene degradation (anaerobic)|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67264e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P161-PWY: acetylene degradation (anaerobic)|unclassified	0	0	0	0	1.01338e-05	0	1.19529e-05	0	0	0	1.60977e-05	8.59051e-06	2.46676e-05	1.3203e-05	2.03439e-05	2.51526e-05	2.06906e-05	2.62038e-05	0	0	0	1.35317e-05	9.8355e-06	0	7.24125e-06	2.35619e-05	0	1.5883e-05	7.52445e-06	0	0	5.00345e-06
P164-PWY: purine nucleobases degradation I (anaerobic)	0	1.26377e-05	0	7.1234e-06	0	0	0	0	7.46058e-06	0	2.04981e-05	6.03322e-06	0	0	9.43355e-06	7.34676e-06	6.75481e-06	0	3.73741e-06	7.43309e-06	2.32487e-06	0	0	8.97609e-06	1.28338e-05	0	0	0	1.26625e-06	0	0	6.45513e-06
P164-PWY: purine nucleobases degradation I (anaerobic)|unclassified	0	0	0	0	0	0	0	0	0	0	0	3.0743e-06	0	0	0	7.34373e-06	2.2302e-06	0	3.73741e-06	0	2.32487e-06	0	0	8.97466e-06	3.52005e-06	0	0	0	1.2662e-06	0	0	6.45513e-06
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0	0	0	0	0	0	8.11905e-06	1.59089e-05	0	0	1.81129e-05	9.3815e-06	0	0	0	6.19716e-06	0	0	0	0	0	0	0	0	1.30064e-05	4.96065e-06	0	0	0	0	6.58785e-06	0
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)|unclassified	0	0	0	0	0	0	0	0	0	0	2.67709e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30064e-05	0	0	0	0	0	0	0
P221-PWY: octane oxidation	0	0	1.95079e-05	4.77057e-06	9.22904e-06	0	7.04002e-06	3.38857e-06	4.16876e-06	3.43454e-06	4.09485e-06	3.35958e-06	0	0	3.29037e-06	0	0	0	0	4.65664e-06	0	0	8.26129e-06	7.04558e-06	5.35335e-06	0	0	0	0	0	5.18048e-06	0
P221-PWY: octane oxidation|unclassified	0	0	1.95079e-05	4.63935e-06	9.22904e-06	0	7.04002e-06	3.38857e-06	0	3.42235e-06	4.03567e-06	0	0	0	4.422e-07	0	0	0	0	4.65664e-06	0	0	8.26129e-06	6.91553e-06	0	0	0	0	0	0	5.18048e-06	0
P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0	0	0	0	0	0	0	0	0	0	1.5179e-05	0	0	0	0	0	0	8.926e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
