Type,Class,Gene,Location,Mean,SD
MGE,Integron,Integron-insH10,Punta Espinoza,4.53E-06,1.57E-05
MGE,Integron,Integron-insH10,Rabida,0,0
MGE,Integron,Integron-insH11,Cabo Douglas,1.29E-05,3.02E-05
MGE,Integron,Integron-insH11,Punta Espinoza,1.08E-05,2.56E-05
MGE,Integron,Integron-insH11,Rabida,1.82E-05,3.38E-05
MGE,Integron,Integron-insH5,Cabo Douglas,2.80E-05,3.70E-05
MGE,Integron,Integron-insH5,Punta Espinoza,4.11E-06,1.42E-05
MGE,Integron,Integron-insH5,Rabida,2.60E-05,3.60E-05
MGE,Integron,Integron-insH6,Cabo Douglas,6.58E-05,1.44E-05
MGE,Integron,Integron-insH6,Punta Espinoza,5.87E-05,9.90E-06
MGE,Integron,Integron-insH6,Rabida,6.37E-05,7.26E-06
MGE,Integron,Integron-insI1,Cabo Douglas,1.69E-05,3.14E-05
MGE,Integron,Integron-insI1,Punta Espinoza,2.03E-05,3.09E-05
MGE,Integron,Integron-insI1,Rabida,7.56E-06,2.14E-05
MGE,Integron,Integron-insI3,Cabo Douglas,1.40E-05,2.59E-05
MGE,Integron,Integron-insI3,Punta Espinoza,1.12E-05,2.64E-05
MGE,Integron,Integron-insI3,Rabida,2.44E-05,3.42E-05
MGE,Integron,Integron-insI4,Cabo Douglas,1.15E-05,2.68E-05
MGE,Integron,Integron-insI4,Punta Espinoza,0,0
MGE,Integron,Integron-insI4,Rabida,0,0
MGE,Integron,Integron-insJ,Cabo Douglas,5.98E-06,2.07E-05
MGE,Integron,Integron-insJ,Punta Espinoza,5.56E-06,1.93E-05
MGE,Integron,Integron-insJ,Rabida,6.92E-06,1.96E-05
MGE,Integron,Integron-insK,Cabo Douglas,6.58E-05,1.44E-05
MGE,Integron,Integron-insK,Punta Espinoza,5.87E-05,9.90E-06
MGE,Integron,Integron-insK,Rabida,6.37E-05,7.26E-06
MGE,Integron,Integron-insM_B,Cabo Douglas,3.49E-06,1.21E-05
MGE,Integron,Integron-insM_B,Punta Espinoza,1.58E-05,2.86E-05
MGE,Integron,Integron-insM_B,Rabida,0,0
MGE,Integron,Integron-insN,Cabo Douglas,9.47E-06,2.30E-05
MGE,Integron,Integron-insN,Punta Espinoza,1.83E-05,2.71E-05
MGE,Integron,Integron-insN,Rabida,0,0
MGE,Integron,Integron-insN1,Cabo Douglas,2.95E-05,3.84E-05
MGE,Integron,Integron-insN1,Punta Espinoza,4.21E-05,2.66E-05
MGE,Integron,Integron-insN1,Rabida,2.41E-05,3.35E-05
MGE,Integron,Integron-insO1,Cabo Douglas,3.89E-05,3.68E-05
MGE,Integron,Integron-insO1,Punta Espinoza,5.24E-05,1.85E-05
MGE,Integron,Integron-insO1,Rabida,1.61E-05,2.98E-05
MGE,Integron,Integron-insQ,Cabo Douglas,6.58E-05,1.44E-05
MGE,Integron,Integron-insQ,Punta Espinoza,5.87E-05,9.90E-06
MGE,Integron,Integron-insQ,Rabida,6.37E-05,7.26E-06
MGE,Integron,Integron-insQ_2,Cabo Douglas,6.91E-06,2.39E-05
MGE,Integron,Integron-insQ_2,Punta Espinoza,0,0
MGE,Integron,Integron-insQ_2,Rabida,0,0
MGE,Integron,Integron-int,Cabo Douglas,6.58E-05,1.44E-05
MGE,Integron,Integron-int,Punta Espinoza,5.87E-05,9.90E-06
MGE,Integron,Integron-int,Rabida,6.37E-05,7.26E-06
MGE,Integron,Integron-int_1,Cabo Douglas,1.09E-05,2.55E-05
MGE,Integron,Integron-int_1,Punta Espinoza,1.58E-05,2.90E-05
MGE,Integron,Integron-int_1,Rabida,7.86E-06,2.22E-05
MGE,Integron,Integron-Int-Tn,Cabo Douglas,4.16E-05,3.27E-05
MGE,Integron,Integron-Int-Tn,Punta Espinoza,5.87E-05,9.90E-06
MGE,Integron,Integron-Int-Tn,Rabida,5.62E-05,2.38E-05
MGE,Integron,Integron-int-Tn_2,Cabo Douglas,6.58E-05,1.44E-05
MGE,Integron,Integron-int-Tn_2,Punta Espinoza,5.87E-05,9.90E-06
MGE,Integron,Integron-int-Tn_2,Rabida,6.37E-05,7.26E-06
MGE,Integron,Integron-Int-Tn_8,Cabo Douglas,4.06E-06,1.41E-05
MGE,Integron,Integron-Int-Tn_8,Punta Espinoza,0,0
MGE,Integron,Integron-Int-Tn_8,Rabida,0,0
MGE,Integron,Integron-int1,Cabo Douglas,1.65E-05,3.00E-05
MGE,Integron,Integron-int1,Punta Espinoza,1.06E-05,2.48E-05
MGE,Integron,Integron-int1,Rabida,6.98E-06,1.97E-05
MGE,Integron,Integron-int2,Cabo Douglas,6.91E-06,2.39E-05
MGE,Integron,Integron-int2,Punta Espinoza,0,0
MGE,Integron,Integron-int2,Rabida,6.92E-06,1.96E-05
MGE,Integron,Integron-intA,Cabo Douglas,1.81E-05,3.30E-05
MGE,Integron,Integron-intA,Punta Espinoza,3.70E-06,1.28E-05
MGE,Integron,Integron-intA,Rabida,0,0
MGE,Integron,Integron-intA_3,Cabo Douglas,4.52E-05,3.59E-05
MGE,Integron,Integron-intA_3,Punta Espinoza,2.88E-05,3.10E-05
MGE,Integron,Integron-intA_3,Rabida,1.55E-05,2.89E-05
MGE,Integron,Integron-intA_4,Cabo Douglas,4.06E-06,1.41E-05
MGE,Integron,Integron-intA_4,Punta Espinoza,0,0
MGE,Integron,Integron-intA_4,Rabida,0,0
MGE,Integron,Integron-intD,Cabo Douglas,2.54E-05,3.83E-05
MGE,Integron,Integron-intD,Punta Espinoza,3.52E-05,3.20E-05
MGE,Integron,Integron-intD,Rabida,1.75E-05,3.25E-05
MGE,Integron,Integron-intD_3,Cabo Douglas,5.98E-06,2.07E-05
MGE,Integron,Integron-intD_3,Punta Espinoza,1.18E-05,2.77E-05
MGE,Integron,Integron-intD_3,Rabida,6.92E-06,1.96E-05
MGE,Integron,Integron-intE,Cabo Douglas,2.54E-05,3.83E-05
MGE,Integron,Integron-intE,Punta Espinoza,1.55E-05,2.88E-05
MGE,Integron,Integron-intE,Rabida,4.04E-05,3.41E-05
MGE,Integron,Integron-intI,Cabo Douglas,2.02E-05,3.12E-05
MGE,Integron,Integron-intI,Punta Espinoza,8.08E-06,1.90E-05
MGE,Integron,Integron-intI,Rabida,1.45E-05,2.69E-05
MGE,Integron,Integron-intI1,Cabo Douglas,0,0
MGE,Integron,Integron-intI1,Punta Espinoza,4.95E-06,1.72E-05
MGE,Integron,Integron-intI1,Rabida,0,0
MGE,Integron,Integron-intM,Cabo Douglas,5.03E-05,3.31E-05
MGE,Integron,Integron-intM,Punta Espinoza,3.18E-05,2.89E-05
MGE,Integron,Integron-intM,Rabida,2.51E-05,3.51E-05
MGE,Integron,Integron-intN1,Cabo Douglas,5.20E-05,2.66E-05
MGE,Integron,Integron-intN1,Punta Espinoza,5.87E-05,9.90E-06
MGE,Integron,Integron-intN1,Rabida,4.66E-05,2.92E-05
MGE,Integron,Integron-intP,Cabo Douglas,3.49E-06,1.21E-05
MGE,Integron,Integron-intP,Punta Espinoza,0,0
MGE,Integron,Integron-intP,Rabida,0,0
MGE,Integron,Integron-intR,Cabo Douglas,0,0
MGE,Integron,Integron-intR,Punta Espinoza,5.56E-06,1.93E-05
MGE,Integron,Integron-intR,Rabida,6.92E-06,1.96E-05
MGE,Integron,Integron-intS,Cabo Douglas,1.24E-05,2.92E-05
MGE,Integron,Integron-intS,Punta Espinoza,0,0
MGE,Integron,Integron-intS,Rabida,0,0
MGE,Integron,Integron-intS_1,Cabo Douglas,3.49E-06,1.21E-05
MGE,Integron,Integron-intS_1,Punta Espinoza,0,0
MGE,Integron,Integron-intS_1,Rabida,0,0
MGE,Integron,Integron-intS_2,Cabo Douglas,6.07E-05,2.39E-05
MGE,Integron,Integron-intS_2,Punta Espinoza,5.87E-05,9.90E-06
MGE,Integron,Integron-intS_2,Rabida,2.37E-05,3.28E-05
MGE,Integron,Integron-intS_3,Cabo Douglas,5.73E-06,1.99E-05
MGE,Integron,Integron-intS_3,Punta Espinoza,3.70E-06,1.28E-05
MGE,Integron,Integron-intS_3,Rabida,0,0
MGE,Integron,Integron-intS_7,Cabo Douglas,3.74E-05,3.99E-05
MGE,Integron,Integron-intS_7,Punta Espinoza,1.90E-05,2.90E-05
MGE,Integron,Integron-intS_7,Rabida,1.54E-05,2.86E-05
MGE,Integron,Integron-intX,Cabo Douglas,1.30E-05,3.11E-05
MGE,Integron,Integron-intX,Punta Espinoza,0,0
MGE,Integron,Integron-intX,Rabida,1.65E-05,3.06E-05
MGE,Intron,Intron-ltrA,Cabo Douglas,6.58E-05,1.44E-05
MGE,Intron,Intron-ltrA,Punta Espinoza,5.87E-05,9.90E-06
MGE,Intron,Intron-ltrA,Rabida,6.37E-05,7.26E-06
MGE,Intron,Intron-ltrA_1,Cabo Douglas,5.31E-05,2.82E-05
MGE,Intron,Intron-ltrA_1,Punta Espinoza,5.42E-05,1.97E-05
MGE,Intron,Intron-ltrA_1,Rabida,4.82E-05,3.04E-05
MGE,Intron,Intron-ltrA_2,Cabo Douglas,2.25E-05,3.51E-05
MGE,Intron,Intron-ltrA_2,Punta Espinoza,4.35E-05,2.76E-05
MGE,Intron,Intron-ltrA_2,Rabida,4.72E-05,2.94E-05
MGE,inversion,inversion-NA:Keyword,Cabo Douglas,6.58E-05,1.44E-05
MGE,inversion,inversion-NA:Keyword,Punta Espinoza,5.87E-05,9.90E-06
MGE,inversion,inversion-NA:Keyword,Rabida,6.37E-05,7.26E-06
MGE,mediator,mediator-mediator,Cabo Douglas,2.03E-05,3.72E-05
MGE,mediator,mediator-mediator,Punta Espinoza,8.23E-06,1.93E-05
MGE,mediator,mediator-mediator,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-1,Cabo Douglas,2.81E-05,3.71E-05
MGE,Phage,Phage-1,Punta Espinoza,5.31E-05,1.93E-05
MGE,Phage,Phage-1,Rabida,6.37E-05,7.26E-06
MGE,Phage,Phage-10,Cabo Douglas,1.24E-05,2.92E-05
MGE,Phage,Phage-10,Punta Espinoza,8.23E-06,1.93E-05
MGE,Phage,Phage-10,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-10A,Cabo Douglas,5.63E-05,2.95E-05
MGE,Phage,Phage-10A,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-10A,Rabida,5.41E-05,2.24E-05
MGE,Phage,Phage-11,Cabo Douglas,0,0
MGE,Phage,Phage-11,Punta Espinoza,4.11E-06,1.42E-05
MGE,Phage,Phage-11,Rabida,0,0
MGE,Phage,Phage-12,Cabo Douglas,1.63E-05,2.95E-05
MGE,Phage,Phage-12,Punta Espinoza,1.75E-05,2.60E-05
MGE,Phage,Phage-12,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-13,Cabo Douglas,1.81E-05,3.30E-05
MGE,Phage,Phage-13,Punta Espinoza,4.59E-06,1.59E-05
MGE,Phage,Phage-13,Rabida,0,0
MGE,Phage,Phage-14,Cabo Douglas,6.91E-06,2.39E-05
MGE,Phage,Phage-14,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-14,Rabida,0,0
MGE,Phage,Phage-15,Cabo Douglas,1.81E-05,3.30E-05
MGE,Phage,Phage-15,Punta Espinoza,2.01E-05,3.06E-05
MGE,Phage,Phage-15,Rabida,1.64E-05,3.03E-05
MGE,Phage,Phage-16,Cabo Douglas,2.76E-05,3.49E-05
MGE,Phage,Phage-16,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-16,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-17,Cabo Douglas,1.81E-05,3.30E-05
MGE,Phage,Phage-17,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-17,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-18,Cabo Douglas,1.81E-05,3.30E-05
MGE,Phage,Phage-18,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-18,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-19,Cabo Douglas,5.48E-06,1.90E-05
MGE,Phage,Phage-19,Punta Espinoza,1.33E-05,2.46E-05
MGE,Phage,Phage-19,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-2,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-2,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-2,Rabida,6.37E-05,7.26E-06
MGE,Phage,Phage-20,Cabo Douglas,1.99E-05,3.67E-05
MGE,Phage,Phage-20,Punta Espinoza,9.97E-06,2.42E-05
MGE,Phage,Phage-20,Rabida,1.64E-05,3.03E-05
MGE,Phage,Phage-21,Cabo Douglas,9.79E-06,2.33E-05
MGE,Phage,Phage-21,Punta Espinoza,5.29E-06,1.83E-05
MGE,Phage,Phage-21,Rabida,0,0
MGE,Phage,Phage-22,Cabo Douglas,6.91E-06,2.39E-05
MGE,Phage,Phage-22,Punta Espinoza,0,0
MGE,Phage,Phage-22,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-23,Cabo Douglas,1.81E-05,3.30E-05
MGE,Phage,Phage-23,Punta Espinoza,1.48E-05,2.73E-05
MGE,Phage,Phage-23,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-24,Cabo Douglas,1.12E-05,2.62E-05
MGE,Phage,Phage-24,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-24,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-25,Cabo Douglas,1.24E-05,2.92E-05
MGE,Phage,Phage-25,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-25,Rabida,0,0
MGE,Phage,Phage-29,Cabo Douglas,1.14E-05,2.66E-05
MGE,Phage,Phage-29,Punta Espinoza,2.06E-05,3.06E-05
MGE,Phage,Phage-29,Rabida,0,0
MGE,Phage,Phage-3,Cabo Douglas,1.78E-05,3.25E-05
MGE,Phage,Phage-3,Punta Espinoza,2.45E-05,3.12E-05
MGE,Phage,Phage-3,Rabida,1.56E-05,2.91E-05
MGE,Phage,Phage-3.1,Cabo Douglas,0,0
MGE,Phage,Phage-3.1,Punta Espinoza,4.53E-06,1.57E-05
MGE,Phage,Phage-3.1,Rabida,0,0
MGE,Phage,Phage-3.5,Cabo Douglas,4.06E-06,1.41E-05
MGE,Phage,Phage-3.5,Punta Espinoza,4.53E-06,1.57E-05
MGE,Phage,Phage-3.5,Rabida,0,0
MGE,Phage,Phage-30,Cabo Douglas,1.24E-05,2.92E-05
MGE,Phage,Phage-30,Punta Espinoza,2.01E-05,3.05E-05
MGE,Phage,Phage-30,Rabida,1.54E-05,2.88E-05
MGE,Phage,Phage-32,Cabo Douglas,6.91E-06,2.39E-05
MGE,Phage,Phage-32,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-32,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-33,Cabo Douglas,1.12E-05,2.62E-05
MGE,Phage,Phage-33,Punta Espinoza,0,0
MGE,Phage,Phage-33,Rabida,0,0
MGE,Phage,Phage-34,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-34,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-34,Rabida,6.37E-05,7.26E-06
MGE,Phage,Phage-4,Cabo Douglas,3.49E-06,1.21E-05
MGE,Phage,Phage-4,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-4,Rabida,6.92E-06,1.96E-05
MGE,Phage,Phage-41,Cabo Douglas,1.81E-05,3.30E-05
MGE,Phage,Phage-41,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-41,Rabida,0,0
MGE,Phage,Phage-43,Cabo Douglas,1.81E-05,3.30E-05
MGE,Phage,Phage-43,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-43,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-44,Cabo Douglas,1.24E-05,2.92E-05
MGE,Phage,Phage-44,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-44,Rabida,0,0
MGE,Phage,Phage-46,Cabo Douglas,1.81E-05,3.30E-05
MGE,Phage,Phage-46,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-46,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-47,Cabo Douglas,1.24E-05,2.92E-05
MGE,Phage,Phage-47,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-47,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-48,Cabo Douglas,0,0
MGE,Phage,Phage-48,Punta Espinoza,1.02E-05,2.39E-05
MGE,Phage,Phage-48,Rabida,0,0
MGE,Phage,Phage-49,Cabo Douglas,5.48E-06,1.90E-05
MGE,Phage,Phage-49,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-49,Rabida,0,0
MGE,Phage,Phage-5,Cabo Douglas,2.82E-05,3.56E-05
MGE,Phage,Phage-5,Punta Espinoza,2.25E-05,2.82E-05
MGE,Phage,Phage-5,Rabida,1.54E-05,2.88E-05
MGE,Phage,Phage-52,Cabo Douglas,1.81E-05,3.30E-05
MGE,Phage,Phage-52,Punta Espinoza,0,0
MGE,Phage,Phage-52,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-53,Cabo Douglas,5.73E-06,1.99E-05
MGE,Phage,Phage-53,Punta Espinoza,0,0
MGE,Phage,Phage-53,Rabida,0,0
MGE,Phage,Phage-56,Cabo Douglas,6.91E-06,2.39E-05
MGE,Phage,Phage-56,Punta Espinoza,4.59E-06,1.59E-05
MGE,Phage,Phage-56,Rabida,0,0
MGE,Phage,Phage-6,Cabo Douglas,1.26E-05,2.97E-05
MGE,Phage,Phage-6,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-6,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-60plus39,Cabo Douglas,1.24E-05,2.92E-05
MGE,Phage,Phage-60plus39,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-60plus39,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-61,Cabo Douglas,1.24E-05,2.92E-05
MGE,Phage,Phage-61,Punta Espinoza,0,0
MGE,Phage,Phage-61,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-7,Cabo Douglas,2.24E-05,3.38E-05
MGE,Phage,Phage-7,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-7,Rabida,1.55E-05,2.89E-05
MGE,Phage,Phage-8,Cabo Douglas,1.12E-05,2.62E-05
MGE,Phage,Phage-8,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-8,Rabida,0,0
MGE,Phage,Phage-9,Cabo Douglas,1.26E-05,2.97E-05
MGE,Phage,Phage-9,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-9,Rabida,0,0
MGE,Phage,Phage-A,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-A,Punta Espinoza,5.34E-05,1.95E-05
MGE,Phage,Phage-A,Rabida,5.51E-05,2.33E-05
MGE,Phage,Phage-abc,Cabo Douglas,0,0
MGE,Phage,Phage-abc,Punta Espinoza,4.59E-06,1.59E-05
MGE,Phage,Phage-abc,Rabida,0,0
MGE,Phage,Phage-abc1,Cabo Douglas,4.06E-06,1.41E-05
MGE,Phage,Phage-abc1,Punta Espinoza,4.59E-06,1.59E-05
MGE,Phage,Phage-abc1,Rabida,0,0
MGE,Phage,Phage-Alpha,Cabo Douglas,4.00E-05,3.74E-05
MGE,Phage,Phage-Alpha,Punta Espinoza,4.29E-05,2.76E-05
MGE,Phage,Phage-Alpha,Rabida,3.21E-05,3.48E-05
MGE,Phage,Phage-ant,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-ant,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-ant,Rabida,6.37E-05,7.26E-06
MGE,Phage,Phage-apl,Cabo Douglas,5.48E-06,1.90E-05
MGE,Phage,Phage-apl,Punta Espinoza,0,0
MGE,Phage,Phage-apl,Rabida,0,0
MGE,Phage,Phage-arpU,Cabo Douglas,2.22E-05,3.36E-05
MGE,Phage,Phage-arpU,Punta Espinoza,1.33E-05,2.43E-05
MGE,Phage,Phage-arpU,Rabida,8.51E-06,2.41E-05
MGE,Phage,Phage-B,Cabo Douglas,2.39E-05,3.55E-05
MGE,Phage,Phage-B,Punta Espinoza,4.74E-05,2.36E-05
MGE,Phage,Phage-B,Rabida,3.11E-05,3.34E-05
MGE,Phage,Phage-bamA,Cabo Douglas,6.03E-05,2.38E-05
MGE,Phage,Phage-bamA,Punta Espinoza,5.38E-05,1.96E-05
MGE,Phage,Phage-bamA,Rabida,5.61E-05,2.38E-05
MGE,Phage,Phage-bbp21,Cabo Douglas,5.10E-06,1.77E-05
MGE,Phage,Phage-bbp21,Punta Espinoza,4.95E-06,1.72E-05
MGE,Phage,Phage-bbp21,Rabida,6.92E-06,1.96E-05
MGE,Phage,Phage-BcepMu34,Cabo Douglas,5.98E-06,2.07E-05
MGE,Phage,Phage-BcepMu34,Punta Espinoza,9.22E-06,2.20E-05
MGE,Phage,Phage-BcepMu34,Rabida,0,0
MGE,Phage,Phage-BcepMu39,Cabo Douglas,3.49E-06,1.21E-05
MGE,Phage,Phage-BcepMu39,Punta Espinoza,5.52E-06,1.91E-05
MGE,Phage,Phage-BcepMu39,Rabida,6.92E-06,1.96E-05
MGE,Phage,Phage-bet,Cabo Douglas,3.71E-05,3.96E-05
MGE,Phage,Phage-bet,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-bet,Rabida,2.50E-05,3.50E-05
MGE,Phage,Phage-bor,Cabo Douglas,5.48E-06,1.90E-05
MGE,Phage,Phage-bor,Punta Espinoza,0,0
MGE,Phage,Phage-bor,Rabida,0,0
MGE,Phage,Phage-brxL,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-brxL,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-brxL,Rabida,6.37E-05,7.26E-06
MGE,Phage,Phage-C,Cabo Douglas,2.95E-05,3.84E-05
MGE,Phage,Phage-C,Punta Espinoza,2.38E-05,3.00E-05
MGE,Phage,Phage-C,Rabida,1.65E-05,3.06E-05
MGE,Phage,Phage-C2,Cabo Douglas,6.91E-06,2.39E-05
MGE,Phage,Phage-C2,Punta Espinoza,0,0
MGE,Phage,Phage-C2,Rabida,0,0
MGE,Phage,Phage-c3172,Cabo Douglas,5.98E-06,2.07E-05
MGE,Phage,Phage-c3172,Punta Espinoza,1.01E-05,2.37E-05
MGE,Phage,Phage-c3172,Rabida,0,0
MGE,Phage,Phage-cca,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-cca,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-cca,Rabida,6.37E-05,7.26E-06
MGE,Phage,Phage-cd,Cabo Douglas,6.91E-06,2.39E-05
MGE,Phage,Phage-cd,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-cd,Rabida,0,0
MGE,Phage,Phage-cI,Cabo Douglas,1.59E-05,3.00E-05
MGE,Phage,Phage-cI,Punta Espinoza,2.60E-05,3.28E-05
MGE,Phage,Phage-cI,Rabida,7.86E-06,2.22E-05
MGE,Phage,Phage-CI,Cabo Douglas,9.77E-06,2.30E-05
MGE,Phage,Phage-CI,Punta Espinoza,2.19E-05,3.27E-05
MGE,Phage,Phage-CI,Rabida,0,0
MGE,Phage,Phage-cI_1,Cabo Douglas,1.12E-05,2.62E-05
MGE,Phage,Phage-cI_1,Punta Espinoza,3.70E-06,1.28E-05
MGE,Phage,Phage-cI_1,Rabida,0,0
MGE,Phage,Phage-CI-HTT,Cabo Douglas,1.20E-05,2.84E-05
MGE,Phage,Phage-CI-HTT,Punta Espinoza,5.57E-06,1.93E-05
MGE,Phage,Phage-CI-HTT,Rabida,7.86E-06,2.22E-05
MGE,Phage,Phage-cII,Cabo Douglas,5.94E-06,2.06E-05
MGE,Phage,Phage-cII,Punta Espinoza,2.46E-05,3.09E-05
MGE,Phage,Phage-cII,Rabida,0,0
MGE,Phage,Phage-cIII,Cabo Douglas,0,0
MGE,Phage,Phage-cIII,Punta Espinoza,4.59E-06,1.59E-05
MGE,Phage,Phage-cIII,Rabida,0,0
MGE,Phage,Phage-clpA,Cabo Douglas,5.98E-05,2.37E-05
MGE,Phage,Phage-clpA,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-clpA,Rabida,5.51E-05,2.33E-05
MGE,Phage,Phage-clpB,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-clpB,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-clpB,Rabida,6.37E-05,7.26E-06
MGE,Phage,Phage-clpC,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-clpC,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-clpC,Rabida,6.37E-05,7.26E-06
MGE,Phage,Phage-clpP,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-clpP,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-clpP,Rabida,6.37E-05,7.26E-06
MGE,Phage,Phage-clpP_1,Cabo Douglas,9.54E-06,2.26E-05
MGE,Phage,Phage-clpP_1,Punta Espinoza,9.12E-06,2.19E-05
MGE,Phage,Phage-clpP_1,Rabida,0,0
MGE,Phage,Phage-clpP_2,Cabo Douglas,5.06E-05,3.29E-05
MGE,Phage,Phage-clpP_2,Punta Espinoza,4.49E-05,2.84E-05
MGE,Phage,Phage-clpP_2,Rabida,4.82E-05,3.04E-05
MGE,Phage,Phage-clpP_3,Cabo Douglas,4.07E-05,3.19E-05
MGE,Phage,Phage-clpP_3,Punta Espinoza,3.75E-05,2.86E-05
MGE,Phage,Phage-clpP_3,Rabida,5.62E-05,2.38E-05
MGE,Phage,Phage-clpP1,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-clpP1,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-clpP1,Rabida,5.62E-05,2.38E-05
MGE,Phage,Phage-clpP1_1,Cabo Douglas,0,0
MGE,Phage,Phage-clpP1_1,Punta Espinoza,8.83E-06,2.11E-05
MGE,Phage,Phage-clpP1_1,Rabida,4.66E-05,2.95E-05
MGE,Phage,Phage-clpP1_2,Cabo Douglas,4.29E-06,1.49E-05
MGE,Phage,Phage-clpP1_2,Punta Espinoza,2.23E-05,2.82E-05
MGE,Phage,Phage-clpP1_2,Rabida,0,0
MGE,Phage,Phage-clpS,Cabo Douglas,3.09E-05,3.48E-05
MGE,Phage,Phage-clpS,Punta Espinoza,3.87E-05,3.00E-05
MGE,Phage,Phage-clpS,Rabida,6.92E-06,1.96E-05
MGE,Phage,Phage-clpX,Cabo Douglas,6.58E-05,1.44E-05
MGE,Phage,Phage-clpX,Punta Espinoza,5.87E-05,9.90E-06
MGE,Phage,Phage-clpX,Rabida,6.37E-05,7.26E-06
MGE,Phage,Phage-cohE,Cabo Douglas,3.49E-06,1.21E-05
MGE,Phage,Phage-cohE,Punta Espinoza,5.52E-06,1.91E-05
MGE,Phage,Phage-cohE,Rabida,0,0
MGE,Phage,Phage-cox,Cabo Douglas,0,0
MGE,Phage,Phage-cox,Punta Espinoza,5.56E-06,1.93E-05
MGE,Phage,Phage-cox,Rabida,0,0
MGE,Phage,Phage-CPA0001,Cabo Douglas,0,0
MGE,Phage,Phage-CPA0001,Punta Espinoza,9.11E-06,2.19E-05
MGE,Phage,Phage-CPA0001,Rabida,3.20E-05,3.44E-05
MGE,Phage,Phage-CPL1,Cabo Douglas,6.91E-06,2.39E-05
MGE,Phage,Phage-CPL1,Punta Espinoza,0,0
MGE,Phage,Phage-CPL1,Rabida,9.60E-06,2.72E-05
