Label,id,Type,Superclass,Class,Gene
Snodgrassella,926,Taxa,Snodgrassella,Snodgrassella,Snodgrassella
Luteimonas,927,Taxa,Luteimonas,Luteimonas,Luteimonas
Basilea,928,Taxa,Basilea,Basilea,Basilea
Simkania,929,Taxa,Simkania,Simkania,Simkania
Candidatus Amoebophilus,930,Taxa,Candidatus Amoebophilus,Candidatus Amoebophilus,Candidatus Amoebophilus
Bermanella,931,Taxa,Bermanella,Bermanella,Bermanella
Galbibacter,932,Taxa,Galbibacter,Galbibacter,Galbibacter
Palaeococcus,933,Taxa,Palaeococcus,Palaeococcus,Palaeococcus
Hyphomonas,934,Taxa,Hyphomonas,Hyphomonas,Hyphomonas
Pluralibacter,935,Taxa,Pluralibacter,Pluralibacter,Pluralibacter
Sodalis,936,Taxa,Sodalis,Sodalis,Sodalis
Candidatus Hepatoplasma,937,Taxa,Candidatus Hepatoplasma,Candidatus Hepatoplasma,Candidatus Hepatoplasma
Mameliella,938,Taxa,Mameliella,Mameliella,Mameliella
Halomicronema,939,Taxa,Halomicronema,Halomicronema,Halomicronema
Roseiflexus,940,Taxa,Roseiflexus,Roseiflexus,Roseiflexus
Stigmatella,941,Taxa,Stigmatella,Stigmatella,Stigmatella
Microchaete,942,Taxa,Microchaete,Microchaete,Microchaete
Rheinheimera,943,Taxa,Rheinheimera,Rheinheimera,Rheinheimera
Singulisphaera,944,Taxa,Singulisphaera,Singulisphaera,Singulisphaera
Kushneria,945,Taxa,Kushneria,Kushneria,Kushneria
Fluoribacter,946,Taxa,Fluoribacter,Fluoribacter,Fluoribacter
Haloactinobacterium,947,Taxa,Haloactinobacterium,Haloactinobacterium,Haloactinobacterium
Mycetocola,948,Taxa,Mycetocola,Mycetocola,Mycetocola
Psychromicrobium,949,Taxa,Psychromicrobium,Psychromicrobium,Psychromicrobium
Vitreoscilla,950,Taxa,Vitreoscilla,Vitreoscilla,Vitreoscilla
Candidatus Evansia,951,Taxa,Candidatus Evansia,Candidatus Evansia,Candidatus Evansia
Neptunomonas,952,Taxa,Neptunomonas,Neptunomonas,Neptunomonas
Plantactinospora,953,Taxa,Plantactinospora,Plantactinospora,Plantactinospora
Sagittula,954,Taxa,Sagittula,Sagittula,Sagittula
Lacunisphaera,955,Taxa,Lacunisphaera,Lacunisphaera,Lacunisphaera
Desulfobacca,956,Taxa,Desulfobacca,Desulfobacca,Desulfobacca
Paraflavitalea,957,Taxa,Paraflavitalea,Paraflavitalea,Paraflavitalea
Rodentibacter,958,Taxa,Rodentibacter,Rodentibacter,Rodentibacter
Haloquadratum,959,Taxa,Haloquadratum,Haloquadratum,Haloquadratum
Methylophilus,960,Taxa,Methylophilus,Methylophilus,Methylophilus
Lelliottia,961,Taxa,Lelliottia,Lelliottia,Lelliottia
Candidatus Fonsibacter,962,Taxa,Candidatus Fonsibacter,Candidatus Fonsibacter,Candidatus Fonsibacter
Cohaesibacter,963,Taxa,Cohaesibacter,Cohaesibacter,Cohaesibacter
Confluentimicrobium,964,Taxa,Confluentimicrobium,Confluentimicrobium,Confluentimicrobium
Streptosporangium,965,Taxa,Streptosporangium,Streptosporangium,Streptosporangium
Nitrosarchaeum,966,Taxa,Nitrosarchaeum,Nitrosarchaeum,Nitrosarchaeum
Staphylothermus,967,Taxa,Staphylothermus,Staphylothermus,Staphylothermus
Candidatus Paracaedibacter,968,Taxa,Candidatus Paracaedibacter,Candidatus Paracaedibacter,Candidatus Paracaedibacter
Gryllotalpicola,969,Taxa,Gryllotalpicola,Gryllotalpicola,Gryllotalpicola
Phyllobacterium,970,Taxa,Phyllobacterium,Phyllobacterium,Phyllobacterium
Candidatus Desulforudis,971,Taxa,Candidatus Desulforudis,Candidatus Desulforudis,Candidatus Desulforudis
Wolinella,972,Taxa,Wolinella,Wolinella,Wolinella
Sulfurivermis,973,Taxa,Sulfurivermis,Sulfurivermis,Sulfurivermis
Roseimaritima,974,Taxa,Roseimaritima,Roseimaritima,Roseimaritima
Lautropia,975,Taxa,Lautropia,Lautropia,Lautropia
Sanguibacter,976,Taxa,Sanguibacter,Sanguibacter,Sanguibacter
Tomitella,977,Taxa,Tomitella,Tomitella,Tomitella
Planomicrobium,978,Taxa,Planomicrobium,Planomicrobium,Planomicrobium
Granulibacter,979,Taxa,Granulibacter,Granulibacter,Granulibacter
Tolumonas,980,Taxa,Tolumonas,Tolumonas,Tolumonas
Alkalilimnicola,981,Taxa,Alkalilimnicola,Alkalilimnicola,Alkalilimnicola
Candidatus Methylospira,982,Taxa,Candidatus Methylospira,Candidatus Methylospira,Candidatus Methylospira
Candidatus Carsonella,983,Taxa,Candidatus Carsonella,Candidatus Carsonella,Candidatus Carsonella
Thermoactinomyces,984,Taxa,Thermoactinomyces,Thermoactinomyces,Thermoactinomyces
Methanothermus,985,Taxa,Methanothermus,Methanothermus,Methanothermus
Candidatus Cyclonatronum,986,Taxa,Candidatus Cyclonatronum,Candidatus Cyclonatronum,Candidatus Cyclonatronum
Basfia,987,Taxa,Basfia,Basfia,Basfia
Anaerohalosphaera,988,Taxa,Anaerohalosphaera,Anaerohalosphaera,Anaerohalosphaera
Halothiobacillus,989,Taxa,Halothiobacillus,Halothiobacillus,Halothiobacillus
Haliscomenobacter,990,Taxa,Haliscomenobacter,Haliscomenobacter,Haliscomenobacter
Salinivibrio,991,Taxa,Salinivibrio,Salinivibrio,Salinivibrio
Minicystis,992,Taxa,Minicystis,Minicystis,Minicystis
Chamaesiphon,993,Taxa,Chamaesiphon,Chamaesiphon,Chamaesiphon
Arsenicicoccus,994,Taxa,Arsenicicoccus,Arsenicicoccus,Arsenicicoccus
Microterricola,995,Taxa,Microterricola,Microterricola,Microterricola
Chroococcidiopsis,996,Taxa,Chroococcidiopsis,Chroococcidiopsis,Chroococcidiopsis
Ewingella,997,Taxa,Ewingella,Ewingella,Ewingella
Bergeyella,998,Taxa,Bergeyella,Bergeyella,Bergeyella
Defluviimonas,999,Taxa,Defluviimonas,Defluviimonas,Defluviimonas
Actinoalloteichus,1000,Taxa,Actinoalloteichus,Actinoalloteichus,Actinoalloteichus
Intrasporangium,1001,Taxa,Intrasporangium,Intrasporangium,Intrasporangium
Dechloromonas,1002,Taxa,Dechloromonas,Dechloromonas,Dechloromonas
Filimonas,1003,Taxa,Filimonas,Filimonas,Filimonas
Luteitalea,1004,Taxa,Luteitalea,Luteitalea,Luteitalea
Cytophaga,1005,Taxa,Cytophaga,Cytophaga,Cytophaga
Dinoroseobacter,1006,Taxa,Dinoroseobacter,Dinoroseobacter,Dinoroseobacter
Persicimonas,1007,Taxa,Persicimonas,Persicimonas,Persicimonas
Salinibacterium,1008,Taxa,Salinibacterium,Salinibacterium,Salinibacterium
Owenweeksia,1009,Taxa,Owenweeksia,Owenweeksia,Owenweeksia
Thermosulfidibacter,1010,Taxa,Thermosulfidibacter,Thermosulfidibacter,Thermosulfidibacter
Oblitimonas,1011,Taxa,Oblitimonas,Oblitimonas,Oblitimonas
Conexibacter,1012,Taxa,Conexibacter,Conexibacter,Conexibacter
Neochlamydia,1013,Taxa,Neochlamydia,Neochlamydia,Neochlamydia
Gloeomargarita,1014,Taxa,Gloeomargarita,Gloeomargarita,Gloeomargarita
Desulfoglaeba,1015,Taxa,Desulfoglaeba,Desulfoglaeba,Desulfoglaeba
Limnoglobus,1016,Taxa,Limnoglobus,Limnoglobus,Limnoglobus
Verrucosispora,1017,Taxa,Verrucosispora,Verrucosispora,Verrucosispora
Paenarthrobacter,1018,Taxa,Paenarthrobacter,Paenarthrobacter,Paenarthrobacter
Slackia,1019,Taxa,Slackia,Slackia,Slackia
Candidatus Nitrosotenuis,1020,Taxa,Candidatus Nitrosotenuis,Candidatus Nitrosotenuis,Candidatus Nitrosotenuis
Methanocella,1021,Taxa,Methanocella,Methanocella,Methanocella
Pelodictyon,1022,Taxa,Pelodictyon,Pelodictyon,Pelodictyon
Thioflavicoccus,1023,Taxa,Thioflavicoccus,Thioflavicoccus,Thioflavicoccus
Rhodothermus,1024,Taxa,Rhodothermus,Rhodothermus,Rhodothermus
Thermosynechococcus,1025,Taxa,Thermosynechococcus,Thermosynechococcus,Thermosynechococcus
Glaciihabitans,1026,Taxa,Glaciihabitans,Glaciihabitans,Glaciihabitans
Laribacter,1027,Taxa,Laribacter,Laribacter,Laribacter
Noviherbaspirillum,1028,Taxa,Noviherbaspirillum,Noviherbaspirillum,Noviherbaspirillum
Atlantibacter,1029,Taxa,Atlantibacter,Atlantibacter,Atlantibacter
Saccharolobus,1030,Taxa,Saccharolobus,Saccharolobus,Saccharolobus
Candidatus Nitrosopelagicus,1031,Taxa,Candidatus Nitrosopelagicus,Candidatus Nitrosopelagicus,Candidatus Nitrosopelagicus
Rhodoluna,1032,Taxa,Rhodoluna,Rhodoluna,Rhodoluna
Sulfuricaulis,1033,Taxa,Sulfuricaulis,Sulfuricaulis,Sulfuricaulis
Thiolapillus,1034,Taxa,Thiolapillus,Thiolapillus,Thiolapillus
Tuwongella,1035,Taxa,Tuwongella,Tuwongella,Tuwongella
Blastococcus,1036,Taxa,Blastococcus,Blastococcus,Blastococcus
Renibacterium,1037,Taxa,Renibacterium,Renibacterium,Renibacterium
Zhongshania,1038,Taxa,Zhongshania,Zhongshania,Zhongshania
Eurybiavirus,1039,Taxa,Eurybiavirus,Eurybiavirus,Eurybiavirus
Candidatus Tachikawaea,1040,Taxa,Candidatus Tachikawaea,Candidatus Tachikawaea,Candidatus Tachikawaea
Thiohalobacter,1041,Taxa,Thiohalobacter,Thiohalobacter,Thiohalobacter
Scardovia,1042,Taxa,Scardovia,Scardovia,Scardovia
Tamlana,1043,Taxa,Tamlana,Tamlana,Tamlana
Gilvibacter,1044,Taxa,Gilvibacter,Gilvibacter,Gilvibacter
Meiothermus,1045,Taxa,Meiothermus,Meiothermus,Meiothermus
Mycolicibacillus,1046,Taxa,Mycolicibacillus,Mycolicibacillus,Mycolicibacillus
Castellaniella,1047,Taxa,Castellaniella,Castellaniella,Castellaniella
Parvibaculum,1048,Taxa,Parvibaculum,Parvibaculum,Parvibaculum
Pelolinea,1049,Taxa,Pelolinea,Pelolinea,Pelolinea
Caldimicrobium,1050,Taxa,Caldimicrobium,Caldimicrobium,Caldimicrobium
Methanotorris,1051,Taxa,Methanotorris,Methanotorris,Methanotorris
Jonquetella,1052,Taxa,Jonquetella,Jonquetella,Jonquetella
Gemmatimonas,1053,Taxa,Gemmatimonas,Gemmatimonas,Gemmatimonas
Oleispira,1054,Taxa,Oleispira,Oleispira,Oleispira
Pirellula,1055,Taxa,Pirellula,Pirellula,Pirellula
Zymobacter,1056,Taxa,Zymobacter,Zymobacter,Zymobacter
Aquicella,1057,Taxa,Aquicella,Aquicella,Aquicella
Ferrimonas,1058,Taxa,Ferrimonas,Ferrimonas,Ferrimonas
Haliangium,1059,Taxa,Haliangium,Haliangium,Haliangium
Sutterella,1060,Taxa,Sutterella,Sutterella,Sutterella
Cobetia,1061,Taxa,Cobetia,Cobetia,Cobetia
Robiginitalea,1062,Taxa,Robiginitalea,Robiginitalea,Robiginitalea
Avipoxvirus,1063,Taxa,Avipoxvirus,Avipoxvirus,Avipoxvirus
Sandaracinobacter,1064,Taxa,Sandaracinobacter,Sandaracinobacter,Sandaracinobacter
Thermosulfuriphilus,1065,Taxa,Thermosulfuriphilus,Thermosulfuriphilus,Thermosulfuriphilus
Agarivorans,1066,Taxa,Agarivorans,Agarivorans,Agarivorans
Candidatus Fokinia,1067,Taxa,Candidatus Fokinia,Candidatus Fokinia,Candidatus Fokinia
Sediminicola,1068,Taxa,Sediminicola,Sediminicola,Sediminicola
Hippea,1069,Taxa,Hippea,Hippea,Hippea
Mariniblastus,1070,Taxa,Mariniblastus,Mariniblastus,Mariniblastus
Orrella,1071,Taxa,Orrella,Orrella,Orrella
Georhizobium,1072,Taxa,Georhizobium,Georhizobium,Georhizobium
Curvibacter,1073,Taxa,Curvibacter,Curvibacter,Curvibacter
Cylindrospermopsis,1074,Taxa,Cylindrospermopsis,Cylindrospermopsis,Cylindrospermopsis
Acidiphilium,1075,Taxa,Acidiphilium,Acidiphilium,Acidiphilium
Candidatus Ishikawaella,1076,Taxa,Candidatus Ishikawaella,Candidatus Ishikawaella,Candidatus Ishikawaella
Granulicella,1077,Taxa,Granulicella,Granulicella,Granulicella
Halorubrum,1078,Taxa,Halorubrum,Halorubrum,Halorubrum
Pistricoccus,1079,Taxa,Pistricoccus,Pistricoccus,Pistricoccus
Yangia,1080,Taxa,Yangia,Yangia,Yangia
Mycolicibacter,1081,Taxa,Mycolicibacter,Mycolicibacter,Mycolicibacter
Aminobacterium,1082,Taxa,Aminobacterium,Aminobacterium,Aminobacterium
Gloeobacter,1083,Taxa,Gloeobacter,Gloeobacter,Gloeobacter
Salipiger,1084,Taxa,Salipiger,Salipiger,Salipiger
Aurantimicrobium,1085,Taxa,Aurantimicrobium,Aurantimicrobium,Aurantimicrobium
Roseivivax,1086,Taxa,Roseivivax,Roseivivax,Roseivivax
Staphylospora,1087,Taxa,Staphylospora,Staphylospora,Staphylospora
Pararhodospirillum,1088,Taxa,Pararhodospirillum,Pararhodospirillum,Pararhodospirillum
Parasedimentitalea,1089,Taxa,Parasedimentitalea,Parasedimentitalea,Parasedimentitalea
Friedmanniella,1090,Taxa,Friedmanniella,Friedmanniella,Friedmanniella
Kineococcus,1091,Taxa,Kineococcus,Kineococcus,Kineococcus
Niveispirillum,1092,Taxa,Niveispirillum,Niveispirillum,Niveispirillum
Elusimicrobium,1093,Taxa,Elusimicrobium,Elusimicrobium,Elusimicrobium
Ammonifex,1094,Taxa,Ammonifex,Ammonifex,Ammonifex
Denitrobacterium,1095,Taxa,Denitrobacterium,Denitrobacterium,Denitrobacterium
Frederiksenia,1096,Taxa,Frederiksenia,Frederiksenia,Frederiksenia
Alienimonas,1097,Taxa,Alienimonas,Alienimonas,Alienimonas
Kozakia,1098,Taxa,Kozakia,Kozakia,Kozakia
Sedimenticola,1099,Taxa,Sedimenticola,Sedimenticola,Sedimenticola
Alphabaculovirus,1100,Taxa,Alphabaculovirus,Alphabaculovirus,Alphabaculovirus
Tetrasphaera,1101,Taxa,Tetrasphaera,Tetrasphaera,Tetrasphaera
Limnohabitans,1102,Taxa,Limnohabitans,Limnohabitans,Limnohabitans
Actinosynnema,1103,Taxa,Actinosynnema,Actinosynnema,Actinosynnema
Brucella,1104,Taxa,Brucella,Brucella,Brucella
Obesumbacterium,1105,Taxa,Obesumbacterium,Obesumbacterium,Obesumbacterium
Citromicrobium,1106,Taxa,Citromicrobium,Citromicrobium,Citromicrobium
Mumia,1107,Taxa,Mumia,Mumia,Mumia
Thiodictyon,1108,Taxa,Thiodictyon,Thiodictyon,Thiodictyon
Enterovibrio,1109,Taxa,Enterovibrio,Enterovibrio,Enterovibrio
Ketogulonicigenium,1110,Taxa,Ketogulonicigenium,Ketogulonicigenium,Ketogulonicigenium
Magnetococcus,1111,Taxa,Magnetococcus,Magnetococcus,Magnetococcus
Acaryochloris,1112,Taxa,Acaryochloris,Acaryochloris,Acaryochloris
Leptospirillum,1113,Taxa,Leptospirillum,Leptospirillum,Leptospirillum
Cyanobium,1114,Taxa,Cyanobium,Cyanobium,Cyanobium
Plantibacter,1115,Taxa,Plantibacter,Plantibacter,Plantibacter
Protaetiibacter,1116,Taxa,Protaetiibacter,Protaetiibacter,Protaetiibacter
Salinispora,1117,Taxa,Salinispora,Salinispora,Salinispora
Dokdonella,1118,Taxa,Dokdonella,Dokdonella,Dokdonella
Methanothermobacter,1119,Taxa,Methanothermobacter,Methanothermobacter,Methanothermobacter
Kluyvera,1120,Taxa,Kluyvera,Kluyvera,Kluyvera
Methanohalobium,1121,Taxa,Methanohalobium,Methanohalobium,Methanohalobium
Ktedonosporobacter,1122,Taxa,Ktedonosporobacter,Ktedonosporobacter,Ktedonosporobacter
Parolsenella,1123,Taxa,Parolsenella,Parolsenella,Parolsenella
Dichelobacter,1124,Taxa,Dichelobacter,Dichelobacter,Dichelobacter
Rhodobaca,1125,Taxa,Rhodobaca,Rhodobaca,Rhodobaca
Terricaulis,1126,Taxa,Terricaulis,Terricaulis,Terricaulis
Truepera,1127,Taxa,Truepera,Truepera,Truepera
Oceanihabitans,1128,Taxa,Oceanihabitans,Oceanihabitans,Oceanihabitans
Sandaracinus,1129,Taxa,Sandaracinus,Sandaracinus,Sandaracinus
Aciduliprofundum,1130,Taxa,Aciduliprofundum,Aciduliprofundum,Aciduliprofundum
Raphidiopsis,1131,Taxa,Raphidiopsis,Raphidiopsis,Raphidiopsis
Acetomicrobium,1132,Taxa,Acetomicrobium,Acetomicrobium,Acetomicrobium
Lacipirellula,1133,Taxa,Lacipirellula,Lacipirellula,Lacipirellula
Candidatus Riesia,1134,Taxa,Candidatus Riesia,Candidatus Riesia,Candidatus Riesia
Planctopirus,1135,Taxa,Planctopirus,Planctopirus,Planctopirus
Thermobacillus,1136,Taxa,Thermobacillus,Thermobacillus,Thermobacillus
Aerosticca,1137,Taxa,Aerosticca,Aerosticca,Aerosticca
Devriesea,1138,Taxa,Devriesea,Devriesea,Devriesea
Geitlerinema,1139,Taxa,Geitlerinema,Geitlerinema,Geitlerinema
Yoonia,1140,Taxa,Yoonia,Yoonia,Yoonia
Archaeoglobus,1141,Taxa,Archaeoglobus,Archaeoglobus,Archaeoglobus
Crenobacter,1142,Taxa,Crenobacter,Crenobacter,Crenobacter
Yokenella,1143,Taxa,Yokenella,Yokenella,Yokenella
Oerskovia,1144,Taxa,Oerskovia,Oerskovia,Oerskovia
Natronomonas,1145,Taxa,Natronomonas,Natronomonas,Natronomonas
Methanofervidicoccus,1146,Taxa,Methanofervidicoccus,Methanofervidicoccus,Methanofervidicoccus
Candidatus Nucleicultrix,1147,Taxa,Candidatus Nucleicultrix,Candidatus Nucleicultrix,Candidatus Nucleicultrix
Lentilitoribacter,1148,Taxa,Lentilitoribacter,Lentilitoribacter,Lentilitoribacter
Halocynthiibacter,1149,Taxa,Halocynthiibacter,Halocynthiibacter,Halocynthiibacter
Rosenblumvirus,1150,Taxa,Rosenblumvirus,Rosenblumvirus,Rosenblumvirus
Sulfuriflexus,1151,Taxa,Sulfuriflexus,Sulfuriflexus,Sulfuriflexus
Nissabacter,1152,Taxa,Nissabacter,Nissabacter,Nissabacter
Thermosphaera,1153,Taxa,Thermosphaera,Thermosphaera,Thermosphaera
Candidatus Midichloria,1154,Taxa,Candidatus Midichloria,Candidatus Midichloria,Candidatus Midichloria
Methylobacillus,1155,Taxa,Methylobacillus,Methylobacillus,Methylobacillus
Acidibrevibacterium,1156,Taxa,Acidibrevibacterium,Acidibrevibacterium,Acidibrevibacterium
Cheoctovirus,1157,Taxa,Cheoctovirus,Cheoctovirus,Cheoctovirus
Pelagibacterium,1158,Taxa,Pelagibacterium,Pelagibacterium,Pelagibacterium
Candidatus Annandia,1159,Taxa,Candidatus Annandia,Candidatus Annandia,Candidatus Annandia
Kyrpidia,1160,Taxa,Kyrpidia,Kyrpidia,Kyrpidia
Cnuibacter,1161,Taxa,Cnuibacter,Cnuibacter,Cnuibacter
Altibacter,1162,Taxa,Altibacter,Altibacter,Altibacter
Simiduia,1163,Taxa,Simiduia,Simiduia,Simiduia
Alicyclobacillus,1164,Taxa,Alicyclobacillus,Alicyclobacillus,Alicyclobacillus
Caldithrix,1165,Taxa,Caldithrix,Caldithrix,Caldithrix
Candidatus Nitrosoglobus,1166,Taxa,Candidatus Nitrosoglobus,Candidatus Nitrosoglobus,Candidatus Nitrosoglobus
Candidatus Portiera,1167,Taxa,Candidatus Portiera,Candidatus Portiera,Candidatus Portiera
Eikenella,1168,Taxa,Eikenella,Eikenella,Eikenella
Weeksella,1169,Taxa,Weeksella,Weeksella,Weeksella
Brevirhabdus,1170,Taxa,Brevirhabdus,Brevirhabdus,Brevirhabdus
Fimbriimonas,1171,Taxa,Fimbriimonas,Fimbriimonas,Fimbriimonas
Spiribacter,1172,Taxa,Spiribacter,Spiribacter,Spiribacter
Thiocystis,1173,Taxa,Thiocystis,Thiocystis,Thiocystis
Aromatoleum,1174,Taxa,Aromatoleum,Aromatoleum,Aromatoleum
Prauserella,1175,Taxa,Prauserella,Prauserella,Prauserella
Saccharophagus,1176,Taxa,Saccharophagus,Saccharophagus,Saccharophagus
Monaibacterium,1177,Taxa,Monaibacterium,Monaibacterium,Monaibacterium
Propioniciclava,1178,Taxa,Propioniciclava,Propioniciclava,Propioniciclava
Salinispira,1179,Taxa,Salinispira,Salinispira,Salinispira
Aureitalea,1180,Taxa,Aureitalea,Aureitalea,Aureitalea
Fuerstia,1181,Taxa,Fuerstia,Fuerstia,Fuerstia
Kerstersia,1182,Taxa,Kerstersia,Kerstersia,Kerstersia
Thermobaculum,1183,Taxa,Thermobaculum,Thermobaculum,Thermobaculum
Anaerolinea,1184,Taxa,Anaerolinea,Anaerolinea,Anaerolinea
Vespertiliibacter,1185,Taxa,Vespertiliibacter,Vespertiliibacter,Vespertiliibacter
Youhaiella,1186,Taxa,Youhaiella,Youhaiella,Youhaiella
Gluconacetobacter,1187,Taxa,Gluconacetobacter,Gluconacetobacter,Gluconacetobacter
Percavirus,1188,Taxa,Percavirus,Percavirus,Percavirus
Simonsiella,1189,Taxa,Simonsiella,Simonsiella,Simonsiella
Parasphingopyxis,1190,Taxa,Parasphingopyxis,Parasphingopyxis,Parasphingopyxis
Terasakiella,1191,Taxa,Terasakiella,Terasakiella,Terasakiella
Catenulispora,1192,Taxa,Catenulispora,Catenulispora,Catenulispora
Xylella,1193,Taxa,Xylella,Xylella,Xylella
Labilithrix,1194,Taxa,Labilithrix,Labilithrix,Labilithrix
Limihaloglobus,1195,Taxa,Limihaloglobus,Limihaloglobus,Limihaloglobus
Chitinimonas,1196,Taxa,Chitinimonas,Chitinimonas,Chitinimonas
Chryseolinea,1197,Taxa,Chryseolinea,Chryseolinea,Chryseolinea
Oricola,1198,Taxa,Oricola,Oricola,Oricola
Mobiluncus,1199,Taxa,Mobiluncus,Mobiluncus,Mobiluncus
Swingsia,1200,Taxa,Swingsia,Swingsia,Swingsia
Coprothermobacter,1201,Taxa,Coprothermobacter,Coprothermobacter,Coprothermobacter
Jeongeupia,1202,Taxa,Jeongeupia,Jeongeupia,Jeongeupia
Lentzea,1203,Taxa,Lentzea,Lentzea,Lentzea
Woeseia,1204,Taxa,Woeseia,Woeseia,Woeseia
Blastomonas,1205,Taxa,Blastomonas,Blastomonas,Blastomonas
Eneladusvirus,1206,Taxa,Eneladusvirus,Eneladusvirus,Eneladusvirus
Glossinavirus,1207,Taxa,Glossinavirus,Glossinavirus,Glossinavirus
Nitratifractor,1208,Taxa,Nitratifractor,Nitratifractor,Nitratifractor
Chryseoglobus,1209,Taxa,Chryseoglobus,Chryseoglobus,Chryseoglobus
Herbiconiux,1210,Taxa,Herbiconiux,Herbiconiux,Herbiconiux
Oryzopoxvirus,1211,Taxa,Oryzopoxvirus,Oryzopoxvirus,Oryzopoxvirus
Ruania,1212,Taxa,Ruania,Ruania,Ruania
Thermoleptolyngbya,1213,Taxa,Thermoleptolyngbya,Thermoleptolyngbya,Thermoleptolyngbya
Archangium,1214,Taxa,Archangium,Archangium,Archangium
Antarctobacter,1215,Taxa,Antarctobacter,Antarctobacter,Antarctobacter
Roseitalea,1216,Taxa,Roseitalea,Roseitalea,Roseitalea
Tabrizicola,1217,Taxa,Tabrizicola,Tabrizicola,Tabrizicola
Methylocaldum,1218,Taxa,Methylocaldum,Methylocaldum,Methylocaldum
Aquisphaera,1219,Taxa,Aquisphaera,Aquisphaera,Aquisphaera
Methylovulum,1220,Taxa,Methylovulum,Methylovulum,Methylovulum
Izhakiella,1221,Taxa,Izhakiella,Izhakiella,Izhakiella
Candidatus Hodgkinia,1222,Taxa,Candidatus Hodgkinia,Candidatus Hodgkinia,Candidatus Hodgkinia
Parachlamydia,1223,Taxa,Parachlamydia,Parachlamydia,Parachlamydia
Candidatus Nesciobacter,1224,Taxa,Candidatus Nesciobacter,Candidatus Nesciobacter,Candidatus Nesciobacter
Cuniculiplasma,1225,Taxa,Cuniculiplasma,Cuniculiplasma,Cuniculiplasma
Gemmatirosa,1226,Taxa,Gemmatirosa,Gemmatirosa,Gemmatirosa
Candidatus Profftella,1227,Taxa,Candidatus Profftella,Candidatus Profftella,Candidatus Profftella
Cardiobacterium,1228,Taxa,Cardiobacterium,Cardiobacterium,Cardiobacterium
Plesiomonas,1229,Taxa,Plesiomonas,Plesiomonas,Plesiomonas
Ignicoccus,1230,Taxa,Ignicoccus,Ignicoccus,Ignicoccus
Ferrovibrio,1231,Taxa,Ferrovibrio,Ferrovibrio,Ferrovibrio
Qipengyuania,1232,Taxa,Qipengyuania,Qipengyuania,Qipengyuania
Actinotignum,1233,Taxa,Actinotignum,Actinotignum,Actinotignum
Chloracidobacterium,1234,Taxa,Chloracidobacterium,Chloracidobacterium,Chloracidobacterium
Gallionella,1235,Taxa,Gallionella,Gallionella,Gallionella
Muriicola,1236,Taxa,Muriicola,Muriicola,Muriicola
Candidatus Phaeomarinobacter,1237,Taxa,Candidatus Phaeomarinobacter,Candidatus Phaeomarinobacter,Candidatus Phaeomarinobacter
Haematospirillum,1238,Taxa,Haematospirillum,Haematospirillum,Haematospirillum
Rhodanobacter,1239,Taxa,Rhodanobacter,Rhodanobacter,Rhodanobacter
Sugarlandvirus,1240,Taxa,Sugarlandvirus,Sugarlandvirus,Sugarlandvirus
Pajaroellobacter,1241,Taxa,Pajaroellobacter,Pajaroellobacter,Pajaroellobacter
Actinotalea,1242,Taxa,Actinotalea,Actinotalea,Actinotalea
Luteipulveratus,1243,Taxa,Luteipulveratus,Luteipulveratus,Luteipulveratus
Gemmobacter,1244,Taxa,Gemmobacter,Gemmobacter,Gemmobacter
Candidatus Nitrosomarinus,1245,Taxa,Candidatus Nitrosomarinus,Candidatus Nitrosomarinus,Candidatus Nitrosomarinus
Epibacterium,1246,Taxa,Epibacterium,Epibacterium,Epibacterium
Mycoavidus,1247,Taxa,Mycoavidus,Mycoavidus,Mycoavidus
Frateuria,1248,Taxa,Frateuria,Frateuria,Frateuria
Frigoribacterium,1249,Taxa,Frigoribacterium,Frigoribacterium,Frigoribacterium
Geovibrio,1250,Taxa,Geovibrio,Geovibrio,Geovibrio
Ferroplasma,1251,Taxa,Ferroplasma,Ferroplasma,Ferroplasma
Guyparkeria,1252,Taxa,Guyparkeria,Guyparkeria,Guyparkeria
Methanoculleus,1253,Taxa,Methanoculleus,Methanoculleus,Methanoculleus
Microcella,1254,Taxa,Microcella,Microcella,Microcella
Micropruina,1255,Taxa,Micropruina,Micropruina,Micropruina
Paraoerskovia,1256,Taxa,Paraoerskovia,Paraoerskovia,Paraoerskovia
Polymorphum,1257,Taxa,Polymorphum,Polymorphum,Polymorphum
Salinibacter,1258,Taxa,Salinibacter,Salinibacter,Salinibacter
Pseudohongiella,1259,Taxa,Pseudohongiella,Pseudohongiella,Pseudohongiella
Candidatus Accumulibacter,1260,Taxa,Candidatus Accumulibacter,Candidatus Accumulibacter,Candidatus Accumulibacter
Oceanithermus,1261,Taxa,Oceanithermus,Oceanithermus,Oceanithermus
Sphaerobacter,1262,Taxa,Sphaerobacter,Sphaerobacter,Sphaerobacter
Cryptobacterium,1263,Taxa,Cryptobacterium,Cryptobacterium,Cryptobacterium
Thermovirga,1264,Taxa,Thermovirga,Thermovirga,Thermovirga
Maribius,1265,Taxa,Maribius,Maribius,Maribius
Tepidiforma,1266,Taxa,Tepidiforma,Tepidiforma,Tepidiforma
Thiobacillus,1267,Taxa,Thiobacillus,Thiobacillus,Thiobacillus
Nitrincola,1268,Taxa,Nitrincola,Nitrincola,Nitrincola
Candidatus Walczuchella,1269,Taxa,Candidatus Walczuchella,Candidatus Walczuchella,Candidatus Walczuchella
